DISTRICT,Scrub ,Barren_lands,Open_forest,Sand,Homestead/Gardens,Sparsely,Grass_lands,Palmyrah,Coconut,Total
COLOMBO,1066,162,861,191,0,0,0,0,0,2280
GAMPAHA,5121,746,1570,375,0,0,0,0,0,7812
KALUTARA,16468,151,14080,239,0,0,0,0,0,30938
KANDY,22448,1122,87944,0,0,0,0,0,0,111514
MATALE,31047,2930,112991,0,0,0,0,0,0,146968
NUWARA ELIYA,33582,555,52807,0,0,0,0,0,0,86944
GALLE,6454,181,5941,252,0,0,0,0,0,12828
MATARA,2174,108,1660,137,0,0,0,0,0,4079
HAMBANTOTA,53217,2222,37456,1555,0,0,0,0,0,94450
JAFFNA,9928,7750,1096,5920,34778,3313,2449,701,874,66809
MANNAR,32532,9391,17940,465,8715,4523,227,737,849,75379
VAVUNIYA,23978,2427,13487,0,21268,12934,1044,0,108,75246
MULLAITIVU,27621,5902,29933,642,16716,6505,402,0,1029,88750
KILINOCHCHI,13960,7806,8508,2530,17516,5742,21,469,1705,58257
BATTICALOA,58251,16856,24325,892,0,0,0,0,0,100324
AMPARA,40531,22550,103705,1285,0,0,0,0,0,168071
TRINCOMALEE,46942,18139,62628,563,0,4,0,0,0,128276
KURUNEGALA,38396,1027,20206,1,0,0,0,0,0,59630
PUTTALAM,42660,5650,18174,2332,0,0,0,0,0,68816
ANURADHAPURA,117222,8154,70543,0,961,1143,0,0,3,198026
POLONNARUWA,60743,10996,57998,0,0,0,0,0,0,129737
BADULLA,126647,3742,127656,0,0,0,0,0,0,258045
MONERAGALA,202953,1844,145499,0,0,0,0,0,0,350296
RATNAPURA,62244,1883,67576,0,0,0,0,0,0,131703
KEGALLE,12522,469,14235,0,0,0,0,0,0,27226
