District,No_Of_Sheds,Gasoline_SD,Gasoline_Mean,Diesel_SD,Diesel_Mean
COLOMBO,151,796,18869,11438,31977
GAMPAHA,156,528,12217,4746,18083
KALUTARA,56,217,4471,1422,6151
KANDY,66,180,4351,2236,7147
MATALE,46,81,1578,930,2668
NUWARA ELIYA,23,71,1010,1175,2602
GALLE,66,185,3813,1317,5317
MATARA,29,170,2382,2131,5017
HAMBANTOTA,37,112,1896,1690,4083
JAFFNA,59,97,1634,826,2671
MANNAR,11,23,252,317,644
VAVUNIYA,17,37,499,1156,2060
MULLAITIVU,12,25,326,688,1206
KILINOCHCHI,8,20,309,573,1032
BATTICALOA,39,114,1323,660,1756
AMPARA,54,118,1806,1080,3016
TRINCOMALEE,26,418,663,1169,2432
KURUNEGALA,111,303,6892,2684,9992
PUTTALAM,72,122,3023,1617,5124
ANURADHAPURA,47,183,3360,2199,6161
POLONNARUWA,28,404,1369,1260,2931
BADULLA,31,115,1808,1343,3495
MONERAGALA,25,106,1284,903,2320
RATNAPURA,45,169,3201,1706,5257
KEGALLE,31,134,2258,922,3378
